1;Tablet;Tablet
2;Sirup;Sirup
3;Supp;Suppositoria
4;Amp;Ampul
5;Caps;Kapsul
6;Garg;Gargel
7;Botol;Botol
8;Cair;Cair
9;Cairan;Cairan
10;Cairan Infus;Cairan Infus
11;Cream;Cream
12;Curliv Plus;Curliv Plus
13;Gel;Gel
14;Guttae Auriculares;Guttae Auriculares
15;Guttae Ophtalmicae;Guttae Ophtalmicae
16;Guttae Oris;Guttae Oris
17;Infus;Infus
18;Injeksi;Injeksi
19;Kaleng;Kaleng
20;Salep;Salep
21;Serbuk;Serbuk
22;Solution;Solution
23;Spray;Spray
24;Vial;Vial
